text,label
очень сломанный провал не рекомендую,negative
очень качественный выбор рекомендую,positive
товар отличный заказ,positive
качество надежный доставка идеальная,positive
очень ужасный брак,negative
все ужасный больше не куплю,negative
очень сломанный брак не рекомендую,negative
качество плохой доставка плохая,negative
все супер буду брать еще,positive
мне не понравился этот товар не рекомендую,negative
очень супер подарок рекомендую,positive
товар кошмарный мусор,negative
очень прекрасный заказ,positive
качество плохой доставка долгая,negative
все качественный буду брать еще,positive
очень супер заказ рекомендую,positive
товар сломанный товар не рекомендую,negative
все качественный буду брать еще,positive
мне подошел этот товар,positive
мне подошел этот товар,positive
товар ужасный провал,negative
товар супер товар,positive
мне подошел этот товар,positive
мне порадовал этот товар,positive
очень сломанный провал,negative
очень отличный выбор,positive
мне зашел этот товар,positive
качество дешевый доставка плохая не рекомендую,negative
все сломанный больше не куплю,negative
все супер буду брать еще,positive
все ужасный больше не куплю,negative
очень прекрасный выбор рекомендую,positive
качество ужасный доставка плохая,negative
товар ужасный ужас,negative
мне не зашел этот товар,negative
товар отличный товар рекомендую,positive
очень сломанный ужас,negative
мне понравился этот товар,positive
качество дешевый доставка ужасная,negative
все надежный буду брать еще,positive
мне не понравился этот товар,negative
качество ужасный доставка плохая не рекомендую,negative
очень кошмарный ужас,negative
мне не порадовал этот товар,negative
мне не понравился этот товар не рекомендую,negative
мне не подошел этот товар,negative
товар прекрасный выбор,positive
все надежный буду брать еще рекомендую,positive
очень ужасный мусор не рекомендую,negative
мне подошел этот товар рекомендую,positive
качество кошмарный доставка плохая,negative
качество прекрасный доставка быстрая,positive
мне зашел этот товар рекомендую,positive
мне понравился этот товар,positive
товар супер вариант рекомендую,positive
мне понравился этот товар,positive
товар надежный вариант рекомендую,positive
мне подошел этот товар,positive
мне порадовал этот товар,positive
очень сломанный брак не рекомендую,negative
мне не подошел этот товар,negative
товар отличный подарок,positive
товар прекрасный вариант,positive
очень сломанный провал не рекомендую,negative
мне порадовал этот товар,positive
очень супер товар,positive
все плохой больше не куплю,negative
качество плохой доставка долгая не рекомендую,negative
мне не подошел этот товар,negative
все дешевый больше не куплю,negative
мне порадовал этот товар,positive
качество кошмарный доставка долгая,negative
качество качественный доставка быстрая рекомендую,positive
мне не порадовал этот товар,negative
все кошмарный больше не куплю,negative
качество надежный доставка аккуратная,positive
все дешевый больше не куплю,negative
качество качественный доставка аккуратная,positive
качество сломанный доставка плохая не рекомендую,negative
все отличный буду брать еще,positive
товар супер вариант,positive
мне не зашел этот товар,negative
очень ужасный провал,negative
все дешевый больше не куплю,negative
мне не подошел этот товар не рекомендую,negative
все сломанный больше не куплю,negative
все супер буду брать еще,positive
мне не подошел этот товар,negative
очень прекрасный подарок,positive
очень ужасный мусор,negative
качество надежный доставка быстрая,positive
качество качественный доставка аккуратная,positive
мне не подошел этот товар,negative
мне подошел этот товар,positive
товар плохой ужас не рекомендую,negative
все качественный буду брать еще,positive
качество супер доставка идеальная,positive
все прекрасный буду брать еще,positive
товар сломанный товар,negative
товар сломанный брак не рекомендую,negative
товар супер товар рекомендую,positive
товар дешевый провал,negative
качество прекрасный доставка быстрая,positive
очень супер выбор,positive
очень сломанный ужас,negative
мне порадовал этот товар,positive
товар ужасный мусор,negative
все прекрасный буду брать еще,positive
товар супер заказ рекомендую,positive
товар прекрасный заказ рекомендую,positive
качество прекрасный доставка идеальная рекомендую,positive
товар отличный выбор,positive
все плохой больше не куплю,negative
качество надежный доставка идеальная,positive
