text,label
игрок забил сезон,sport
игрок выиграл чемпионат сегодня,sport
компания создал прототип сегодня,tech
команда проиграл финал,sport
президент объявил бюджет сегодня официально,politics
разработчик создал сервис сегодня,tech
стартап запустил чип,tech
компания создал приложение сегодня,tech
компания увеличил акции,business
команда подписал финал,sport
рынок купил выручку сегодня,business
парламент подписал санкции,politics
депутат утвердил закон сегодня,politics
платформа показал сервис,tech
нападающий обыграл чемпионат сегодня,sport
компания создал приложение,tech
тренер забил сезон сегодня,sport
правительство предложил решение официально,politics
разработчик показал сервис,tech
игрок выиграл турнир сегодня,sport
тренер выиграл сезон,sport
депутат утвердил реформу,politics
платформа показал прототип официально,tech
разработчик показал чип сегодня,tech
инженер создал приложение,tech
банк снизил долю,business
правительство объявил санкции сегодня,politics
президент объявил санкции сегодня,politics
команда проиграл чемпионат,sport
парламент предложил санкции,politics
нападающий забил турнир,sport
платформа запустил прототип,tech
инвестор продал прибыль официально,business
инвестор купил выручку сегодня,business
президент обсудил бюджет сегодня официально,politics
инженер запустил приложение,tech
тренер обыграл матч сегодня,sport
клуб подписал сезон,sport
банк объявил акции,business
компания создал прототип официально,tech
инженер выпустил приложение сегодня,tech
нападающий проиграл сезон,sport
министр обсудил решение,politics
платформа показал приложение сегодня,tech
клуб забил турнир,sport
команда подписал сезон сегодня,sport
платформа создал сервис,tech
компания показал прототип официально,tech
инженер показал приложение сегодня,tech
команда обыграл матч официально,sport
правительство обсудил бюджет официально,politics
фонд объявил акции,business
компания продал выручку сегодня,business
правительство подписал закон,politics
платформа создал чип,tech
инвестор продал акции,business
платформа выпустил приложение сегодня,tech
платформа выпустил прототип,tech
президент обсудил закон сегодня,politics
президент подписал санкции,politics
парламент предложил закон,politics
команда проиграл сезон,sport
рынок купил долю,business
депутат предложил решение сегодня,politics
инвестор купил долю сегодня официально,business
платформа показал чип официально,tech
команда проиграл турнир,sport
инвестор снизил долю,business
нападающий проиграл чемпионат сегодня официально,sport
парламент подписал решение,politics
игрок обыграл турнир,sport
президент объявил санкции сегодня,politics
компания купил контракт сегодня,business
нападающий подписал чемпионат,sport
компания купил выручку,business
компания создал сервис сегодня официально,tech
команда выиграл матч официально,sport
правительство объявил санкции официально,politics
нападающий проиграл турнир,sport
тренер подписал сезон сегодня,sport
депутат обсудил решение,politics
компания выпустил сервис сегодня,tech
разработчик запустил приложение,tech
компания обновил модель,tech
стартап запустил сервис сегодня,tech
компания обновил модель,tech
фонд снизил долю официально,business
платформа создал прототип сегодня,tech
игрок забил матч сегодня,sport
министр объявил санкции,politics
рынок увеличил прибыль,business
банк купил выручку сегодня,business
министр обсудил решение,politics
банк объявил контракт,business
министр подписал санкции,politics
стартап запустил сервис,tech
команда проиграл чемпионат официально,sport
разработчик обновил сервис сегодня,tech
компания показал сервис сегодня,tech
разработчик выпустил чип,tech
депутат объявил бюджет,politics
рынок снизил долю,business
платформа запустил модель сегодня,tech
нападающий обыграл чемпионат сегодня официально,sport
клуб забил финал,sport
инвестор продал прибыль сегодня официально,business
депутат обсудил санкции,politics
министр подписал бюджет,politics
компания продал прибыль сегодня,business
стартап выпустил прототип официально,tech
правительство предложил санкции сегодня официально,politics
парламент подписал реформу официально,politics
компания продал прибыль сегодня официально,business
компания запустил модель,tech
правительство обсудил санкции сегодня,politics
президент обсудил закон сегодня официально,politics
правительство предложил решение,politics
игрок обыграл матч,sport
инвестор купил контракт,business
банк объявил долю,business
нападающий обыграл сезон сегодня,sport
президент предложил бюджет сегодня,politics
клуб обыграл финал,sport
игрок проиграл чемпионат сегодня,sport
правительство предложил закон сегодня,politics
министр предложил закон сегодня официально,politics
банк снизил контракт сегодня официально,business
фонд купил выручку сегодня,business
тренер выиграл матч сегодня официально,sport
компания купил акции сегодня,business
президент утвердил санкции сегодня официально,politics
парламент объявил реформу сегодня,politics
парламент подписал закон официально,politics
тренер обыграл финал сегодня официально,sport
министр объявил реформу официально,politics
