text,label
почему задержка доставки срочно,delivery
отмена моего заказа по товару,cancel
помогите отменить заказ срочно,cancel
когда будет курьер по товару,delivery
хочу оставить жалобу пожалуйста,complaint
где моя доставка сегодня,delivery
товар не работает срочно,complaint
оформить заказ на товар по заказу,order
хочу заказать товар срочно,order
оформить заказ на товар срочно,order
мне прислали брак сегодня,complaint
статус доставки заказа пожалуйста,delivery
хочу заказать товар,order
товар пришел сломанный сегодня,complaint
мне прислали брак,complaint
товар не работает по товару,complaint
оформить заказ на товар по заказу,order
нужно отменить покупку сегодня,cancel
хочу оставить жалобу по заказу,complaint
помогите отменить заказ по заказу,cancel
товар не работает,complaint
когда привезут заказ по товару,delivery
где моя доставка,delivery
помогите заказать товар,order
оформить заказ на товар сегодня,order
помогите заказать товар сегодня,order
отмена моего заказа срочно,cancel
хочу оформить покупку по заказу,order
хочу заказать товар,order
помогите заказать товар пожалуйста,order
помогите заказать товар срочно,order
где моя доставка по товару,delivery
отмена моего заказа пожалуйста,cancel
товар пришел сломанный,complaint
как отменить заказ срочно,cancel
товар пришел сломанный по заказу,complaint
помогите отменить заказ по заказу,cancel
мне прислали брак,complaint
как сделать заказ по заказу,order
отмена моего заказа по заказу,cancel
мне прислали брак по товару,complaint
очень плохое качество срочно,complaint
почему задержка доставки по товару,delivery
очень плохое качество пожалуйста,complaint
оформить заказ на товар срочно,order
как отменить заказ пожалуйста,cancel
помогите отменить заказ пожалуйста,cancel
когда будет курьер сегодня,delivery
помогите заказать товар по товару,order
как сделать заказ сегодня,order
хочу отменить заказ,cancel
очень плохое качество по товару,complaint
мне прислали брак по заказу,complaint
нужно отменить покупку срочно,cancel
как сделать заказ,order
где моя доставка,delivery
помогите отменить заказ,cancel
хочу отменить заказ по заказу,cancel
где моя доставка по заказу,delivery
товар пришел сломанный пожалуйста,complaint
хочу отменить заказ пожалуйста,cancel
хочу оставить жалобу пожалуйста,complaint
как отменить заказ срочно,cancel
нужно отменить покупку,cancel
оформить заказ на товар срочно,order
как сделать заказ по заказу,order
товар пришел сломанный сегодня,complaint
как сделать заказ по товару,order
хочу оставить жалобу сегодня,complaint
мне прислали брак,complaint
хочу заказать товар срочно,order
очень плохое качество срочно,complaint
когда будет курьер,delivery
товар не работает пожалуйста,complaint
помогите заказать товар сегодня,order
помогите отменить заказ срочно,cancel
когда будет курьер по заказу,delivery
помогите отменить заказ пожалуйста,cancel
статус доставки заказа пожалуйста,delivery
где моя доставка,delivery
хочу заказать товар,order
мне прислали брак по заказу,complaint
помогите заказать товар срочно,order
хочу отменить заказ срочно,cancel
помогите заказать товар сегодня,order
очень плохое качество по заказу,complaint
оформить заказ на товар сегодня,order
оформить заказ на товар срочно,order
нужно отменить покупку,cancel
нужно отменить покупку сегодня,cancel
товар пришел сломанный,complaint
где моя доставка,delivery
хочу оставить жалобу сегодня,complaint
где моя доставка по товару,delivery
где моя доставка срочно,delivery
отмена моего заказа,cancel
отмена моего заказа пожалуйста,cancel
товар пришел сломанный по товару,complaint
хочу оставить жалобу,complaint
хочу оформить покупку пожалуйста,order
товар пришел сломанный по товару,complaint
нужно отменить покупку сегодня,cancel
товар пришел сломанный по заказу,complaint
оформить заказ на товар,order
статус доставки заказа срочно,delivery
когда привезут заказ по заказу,delivery
когда привезут заказ по заказу,delivery
как сделать заказ по заказу,order
где моя доставка пожалуйста,delivery
товар пришел сломанный сегодня,complaint
помогите отменить заказ срочно,cancel
помогите заказать товар,order
когда будет курьер,delivery
где моя доставка,delivery
хочу оставить жалобу пожалуйста,complaint
хочу оформить покупку,order
помогите отменить заказ пожалуйста,cancel
хочу отменить заказ по заказу,cancel
помогите отменить заказ сегодня,cancel
хочу отменить заказ пожалуйста,cancel
оформить заказ на товар,order
очень плохое качество пожалуйста,complaint
когда привезут заказ по товару,delivery
отмена моего заказа по заказу,cancel
мне прислали брак,complaint
почему задержка доставки,delivery
помогите заказать товар по товару,order
хочу отменить заказ срочно,cancel
хочу заказать товар срочно,order
отмена моего заказа сегодня,cancel
как сделать заказ по товару,order
когда привезут заказ по товару,delivery
хочу оставить жалобу по заказу,complaint
очень плохое качество по товару,complaint
хочу оформить покупку по товару,order
хочу отменить заказ,cancel
как сделать заказ по заказу,order
почему задержка доставки по товару,delivery
когда будет курьер,delivery
когда будет курьер по товару,delivery
хочу отменить заказ,cancel
как отменить заказ срочно,cancel
нужно отменить покупку сегодня,cancel
когда будет курьер,delivery
статус доставки заказа срочно,delivery
когда привезут заказ,delivery
мне прислали брак по заказу,complaint
когда будет курьер по товару,delivery
помогите заказать товар по товару,order
товар пришел сломанный срочно,complaint
как отменить заказ по заказу,cancel
нужно отменить покупку по товару,cancel
хочу заказать товар пожалуйста,order
как отменить заказ срочно,cancel
